Reporting Period,Project Number,Legacy Project Number,City
5/30/21,2014-661529-Sola,,Wantagh
5/30/21,118709,,Morristown
5/30/21,151472,,Marathon
5/30/21,41809,5297-83862,Springfield Gardens
5/30/21,48137,5438-102527,New City
5/30/21,2014-648711-Sola,,Mineola
5/30/21,13702,4995-36571,Groton
5/30/21,2014-660821-Sola,,Port Jefferson Station
5/30/21,126570,,Chester
5/30/21,2014-665398-Sola,,Plainview
5/30/21,40139,5098-86524,Stony Point
5/30/21,52804,5138-60743,Schenectady
5/30/21,38997,5075-78301,Staten Island
5/30/21,12849,4982-33288,Buffalo
5/30/21,58755,5100-79582,Cairo
5/30/21,203984,,Jamesville
5/30/21,185446,,Westtown
5/30/21,2013-539347-Sola,,Massapequa
5/30/21,312561,,Cropseyville
5/30/21,120026,,Brooklyn
5/30/21,165982,,Suffern
5/30/21,54233,4704-63768,Ossining
5/30/21,165716,,Schenectady
5/30/21,81092,,New Windsor
5/30/21,43298,4704-88015,Long Lake
5/30/21,55157,4758-67339,Ballston Spa
5/30/21,2014-638504-Sola,,North Massapequa
5/30/21,30293,5115-52984,Croton on Hudson
5/30/21,61377,4704-87198,Ballston Spa
5/30/21,32856,4882-61687,Staten Island
5/30/21,35014,5023-64627,Garnerville
5/30/21,161893,,Lockport
5/30/21,2014-661368-Sola,,Franklin Square
5/30/21,68296,,Brushton
5/30/21,61244,4704-86217,Catskill
5/30/21,60809,4704-83944,Mount Vernon
5/30/21,9391,5098-83299,Jamaica
5/30/21,47259,4704-81971,Highland Mills
5/30/21,93422,,Newburgh
5/30/21,61045,4704-85907,Gansevoort
5/30/21,29758,4704-50941,Yorktown Heights
5/30/21,2014-649656-Sola,,Selden
5/30/21,38250,4944-73446,New Windsor
5/30/21,66066,5443-759,Valhalla
5/30/21,60073,4533-85758,Woodstock
5/30/21,237274,,Brooklyn
5/30/21,40469,4704-79856,Wallkill
5/30/21,20102,5023-52785,Bronx
5/30/21,234761,,Peekskill
5/30/21,2014-662950-Sola,,Port Jefferson Station
5/30/21,76697,,Churchville
5/30/21,36298,4116-68970,Lancaster
5/30/21,51207,5159-98409,Staten Island
5/30/21,30625,4629-52579-GJ,Levittown
5/30/21,94006,,Troy
5/30/21,8752,5247-77161,Moravia
5/30/21,118052,,Staten Island
5/30/21,20487,5293-53707,ithaca
5/30/21,153614,,Truxton
5/30/21,9724,4704-86294,New City
5/30/21,46401,4944-99053,Flushing
5/30/21,74841,,Hyde Park
5/30/21,179472,,Huguenot
5/30/21,62209,4944-90231,Staten Island
5/30/21,43553,4354-97040,Hastings on Hudson
5/30/21,311281,,Ravena
5/30/21,65776,5297-102101,Brooklyn
5/30/21,2014-641692-Sola,,Long Beach
5/30/21,315182,,Ashland
5/30/21,19487,4704-55602,Albany
5/30/21,56978,5245-72780,ROSEDALE
5/30/21,54553,5023-64829,Brockport
5/30/21,20799,5023-55060,Jamaica
5/30/21,33608,5138-62502,Newburgh
5/30/21,32634,5171-59747,Staten Island
5/30/21,19008,5293-50241,Lancaster
5/30/21,62832,5171-93039,Howard Beach
5/30/21,19603,4704-55444,New Windsor
5/30/21,64895,5383-99948,Garrison
5/30/21,178848,,Cape Vincent
5/30/21,276039,,Kerhonkson
5/30/21,19734,5023-51606,Staten Island
5/30/21,81591,,Wallkill
5/30/21,72715,,Yonkers
5/30/21,20088,4354-53023-GJ,Garrison
5/30/21,272635,,Greene
5/30/21,2014-643761-Sola,,Levittown
5/30/21,300798,,Queensbury
5/30/21,2014-660663-Sola,,Calverton
5/30/21,65534,4704-101361,Comstock
5/30/21,78678,,Hopewell Junction
5/30/21,117009,,Port Jervis
5/30/21,30121,4555-52816,Rochester
5/30/21,73866,,Athens
5/30/21,62594,4116-93490,Orchard Park
5/30/21,128205,,Clarence Center
5/30/21,225014,,Brooklyn
5/30/21,266468,,Valley Stream
5/30/21,126545,,Waterport
5/30/21,62175,4704-90306,Monroe
5/30/21,42357,4704-73246,Stillwater
5/30/21,2014-661570-Sola,,Nesconset
5/30/21,72020,,Brushton
5/30/21,44907,4354-97531,Hastings on Hudson
5/30/21,73158,,Lansing
5/30/21,2014-664311-Sola,,Levittown
5/30/21,2013-538781-Sola,,Commack
5/30/21,2013-625272-Sola,,Holbrook
5/30/21,80982,,Jamaica
5/30/21,26042,4373-41473,Tomkins Cove
5/30/21,38749,4548-76323,Stephentown
5/30/21,67676,,Constantia
5/30/21,229570,,CAMPBELL HALL
5/30/21,41407,4116-83960,Honeoye
5/30/21,184867,,Flushing
5/30/21,17336,5023-46539,Brooklyn
5/30/21,313264,,Newburgh
5/30/21,2014-639888-Sola,,Smithtown
5/30/21,267461,,Franklin Square
5/30/21,166325,,Endicott
5/30/21,67448,4704-91594,Marcy
5/30/21,2011-432897-Sola,,Orient
5/30/21,12914,4667-33635,Lansing
5/30/21,209895,,Olean
5/30/21,303513,,Syracuse
5/30/21,219766,,Branchport
5/30/21,15701,4376-46575-GJ,Levittown
5/30/21,21536,4627-56332,Avon
5/30/21,91016,,Wynantskill
5/30/21,53571,4736-62032-GJ,Mahopac
5/30/21,300282,,Lindenhurst
5/30/21,20876,4704-53440,Ridge
5/30/21,2014-663285-Sola,,Long Beach
5/30/21,48160,4116-102086,Averill Park
5/30/21,65173,5379-100522,Queens
5/30/21,186991,,Lake View
5/30/21,224091,,Schenectady
5/30/21,260576,,Cairo
5/30/21,257528,,East Northport
5/30/21,2014-645847-Sola,,Bohemia
5/30/21,126351,,Three Mile Bay
5/30/21,212479,,Lockport
5/30/21,42605,4704-75042,Highland Mills
5/30/21,60841,5297-85446,Bronx
5/30/21,185479,,Schenectady
5/30/21,53956,5023-63053,Bellerose
5/30/21,177549,,Salem
5/30/21,138387,,Wurtsboro
5/30/21,2014-666220-Sola,,Hampton Bays
5/30/21,2013-539220-Sola,,Coram
5/30/21,27750,4376-46051,New Hyde Park
5/30/21,19130,5023-50418,Yonkers
5/30/21,19347,5098-51282,Amityville
5/30/21,34423,5023-63287,Chester
5/30/21,29666,4154-50603-GJ,Medford
5/30/21,59053,4255-80764,Menands
5/30/21,2014-648384-Sola,,North Babylon
5/30/21,16062,5159-47999,Kings Park
5/30/21,59450,4704-80531,Chester
5/30/21,55414,5293-68039-GJ,Johnstown
5/30/21,69995,,Maybrook
5/30/21,2014-664324-Sola,,Westbury
5/30/21,40077,4548-79876,Slingerlands
5/30/21,80995,,Cortlandt Manor
5/30/21,89862,,Chappaqua
5/30/21,120095,,Barker
5/30/21,25537,4704-39620,Poughkeepsie
5/30/21,83382,,Brooklyn
5/30/21,57117,4533-72722,Schroon Lake
5/30/21,95111,,Canandaigua
5/30/21,273126,,Hudson
5/30/21,37754,4704-71912,Stormville
5/30/21,94628,,Staten Island
5/30/21,43012,4882-75168,Glen Oaks
5/30/21,21811,4944-57355,Westtown
5/30/21,128699,,Worcester
5/30/21,53837,5023-62817,Romulus
5/30/21,41657,5098-86919,Wappingers Falls
5/30/21,2014-661346-Sola,,Deer Park
5/30/21,210588,,Marlboro
5/30/21,59653,5100-84066,West Chazy
5/30/21,294810,,Mount Kisco
5/30/21,165482,,Auburn
5/30/21,18825,5105-49857,Yonkers
5/30/21,53501,5122-62486,Clifton Park
5/30/21,281634,,Stony Point
5/30/21,81785,,Staten Island
5/30/21,45388,4533-95884,Potsdam
5/30/21,72018,,Spring Valley
5/30/21,69357,,Syracuse
5/30/21,51488,5400-101320,Staten Island
5/30/21,55761,4704-68565,Schenectady
5/30/21,8482,4704-72396,Florida
5/30/21,2014-649080-Sola,,Wyandanch
5/30/21,92165,,Westport
5/30/21,32631,5105-58722,Valhalla
5/30/21,38533,4704-69014,Monroe
5/30/21,60212,5171-83846,Staten Island
5/30/21,2013-546144-Sola,,Commack
5/30/21,61896,5297-88809,Ridgewood
5/30/21,47550,5074-101033,Kingston
5/30/21,63557,4944-94748,Staten Island
5/30/21,54754,5129-65368,Brooklyn
5/30/21,234235,,Eden
5/30/21,220451,,Beaver Dams
5/30/21,63231,4443-95902,West Seneca
5/30/21,67830,,Staten Island
5/30/21,259998,,Memphis
5/30/21,2014-665911-Sola,,South Hempstead
5/30/21,65697,4473-102802,Ancram
5/30/21,306238,,Valley Cottage
5/30/21,50291,4147-62132,Kerhonkson
5/30/21,249882,,Napanoch
5/30/21,222183,,Wayland
5/30/21,41367,4704-73100,Gansevoort
5/30/21,75970,,Queens
5/30/21,2013-536401-Sola,,Bay Shore
5/30/21,36404,5066-71931-GJ,Freeville
5/30/21,53465,4183-67327-GJ,Mount Kisco
5/30/21,234677,,Salem
5/30/21,18127,4629-50255-GJ,East Northport
5/30/21,67490,4548-98941,Galway
5/30/21,48298,5352-102442,Cazenovia
5/30/21,73033,,Queens
5/30/21,2013-542484-Sola,,Syosset
5/30/21,206836,,Rush
5/30/21,33272,4354-61677-GJ,Croton on Hudson
5/30/21,88907,,Salt Point
5/30/21,39099,5293-76705,Albany
5/30/21,18521,4376-48974-GJ,East Rockaway
5/30/21,204156,,Lido Beach
5/30/21,2013-636777-Sola,,Amagansett
5/30/21,46511,4704-98796,Pomona
5/30/21,32495,5149-60699,Oceanside
5/30/21,11378,4502-24757,Brooklyn
5/30/21,300292,,Staten Island
5/30/21,236261,,Hollis
5/30/21,39517,5321-78375,New Hyde Park
5/30/21,274297,,Riverhead
5/30/21,67968,,Staten Island
5/30/21,55637,4704-68060,Schenectady
5/30/21,53314,4864-61351,New City
5/30/21,2014-664341-Sola,,Massapequa Park
5/30/21,148681,,Middletown
5/30/21,2014-646417-Sola,,Bay Shore
5/30/21,2014-641993-Sola,,Lake Ronkonkoma
5/30/21,21293,4657-56305,Grahamsville
5/30/21,59204,4247-80828,Auburn
5/30/21,83998,,Wappingers Falls
5/30/21,36286,5023-68049,WILLIAMSVILLE
5/30/21,48262,4978-102344,Mount Vernon
5/30/21,257722,,Blue Point
5/30/21,178056,,Queens
5/30/21,64982,5171-100111,Jamaica
5/30/21,24283,4995-35331,Seneca Falls
5/30/21,2013-538393-Sola,,Bay Shore
5/30/21,82676,,Brooklyn
5/30/21,39290,5171-77313,Staten Island
5/30/21,41056,4704-81867,Schenectady
5/30/21,274991,,Bloomingburg
5/30/21,47801,4944-101080,Yonkers
5/30/21,6564,4433-47607-GJ,Riverhead
5/30/21,89025,,Rochester
5/30/21,32148,5171-60082,Staten Island
5/30/21,40329,4704-79775,Valley Falls
5/30/21,44169,4704-92703,Ballston Lake
5/30/21,36173,4704-67754,Wappingers Falls
5/30/21,162174,,Cobleskill
5/30/21,266433,,Buffalo
5/30/21,2014-639844-Sola,,Saint James
5/30/21,55048,5023-66152,Buffalo
5/30/21,191679,,Woodstock
5/30/21,41059,4704-81940,Carmel
5/30/21,2014-642189-Sola,,Lido Beach
5/30/21,2014-639990-Sola,,Lake Ronkonkoma
5/30/21,38615,4864-75143,Peekskill
5/30/21,26240,5104-42508,Washingtonville
5/30/21,78591,,Yonkers
5/30/21,30133,4736-52463-GJ,Groton
5/30/21,26540,4704-42731,Carmel
5/30/21,17285,5137-46543,Schenectady
5/30/21,294857,,Poughkeepsie
5/30/21,95048,,JAMAICA
5/30/21,38631,5247-73183,Waverly
5/30/21,102463,,Bloomingburg
5/30/21,287321,,Franklinville
5/30/21,57277,4627-72856,Rochester
5/30/21,2013-555390-Sola,,Holbrook
5/30/21,27808,5023-46030,Staten Island
5/30/21,63027,4247-93902,Fabius
5/30/21,148639,,Monroe
5/30/21,2014-654898-Sola,,Bay Shore
5/30/21,45942,4611-97374,Sterling
5/30/21,57179,5100-76247,Amsterdam
5/30/21,55495,4704-67752,Poughkeepsie
5/30/21,275609,,Yorktown Heights
5/30/21,63433,5373-94683,Palenville
5/30/21,312682,,Mastic
5/30/21,96716,,Hoosick Falls
5/30/21,63098,5137-97529,Jamaica
5/30/21,17881,4704-47613,Chester
5/30/21,34675,4968-63691,Surprise
5/30/21,76335,,Queens
5/30/21,2014-653921-Sola,,Kings Park
5/30/21,277798,,West Hurley
5/30/21,36978,4704-69941,Schenectady
5/30/21,263355,,New Paltz
5/30/21,230622,,Rochester
5/30/21,31489,5023-55671,Garnerville
5/30/21,218611,,Rochester
5/30/21,286367,,Bloomington
5/30/21,65453,4704-101102,Westford
5/30/21,2011-447589-Sola,,East Northport
5/30/21,17718,4704-52970,Yonkers
5/30/21,63451,4976-95635,Akron
5/30/21,82069,,Staten Island
5/30/21,50112,4937-88934,Scotia
5/30/21,2014-646749-Sola,,Port Jefferson Station
5/30/21,58641,5297-81028,West Nyack
5/30/21,33377,4704-60364,Ballston Spa
5/30/21,53373,5105-61367,Fishkill
5/30/21,189555,,Chester
5/30/21,263977,,Islip Terrace
5/30/21,2014-660606-Sola,,Oak Beach
5/30/21,29315,5098-50813,East Patchogue
5/30/21,55315,4736-67458,Grand Island
5/30/21,82771,,Buffalo
5/30/21,316440,,Pine Bush
5/30/21,242512,,Commack
5/30/21,2013-535698-Sola,,Southold
5/30/21,64625,5425-99126,Hudson
5/30/21,162251,,Ballston Lake
5/30/21,21291,4704-55448,Hopewell Junction
5/30/21,33692,4704-61255,Newburgh
5/30/21,72597,,Walden
5/30/21,2014-665949-Sola,,Bethpage
5/30/21,7876,4978-67192,Hopewell Junction
5/30/21,52667,5023-59175,Middletown
5/30/21,20859,4953-54905,Jamaica
5/30/21,263022,,Pittsford
5/30/21,101499,,Brooklyn
5/30/21,70841,,Hyde Park
5/30/21,54104,4116-63927,Lockport
5/30/21,2013-540865-Sola,,Wading River
5/30/21,61919,4758-88745,Wappingers Falls
5/30/21,104931,,Peekskill
5/30/21,57724,4704-75037,Washingtonville
5/30/21,62879,4548-93096,Albany
5/30/21,114975,,Staten Island
5/30/21,21389,5165-55999,Staten Island
5/30/21,30674,5105-53862,Ossining
5/30/21,61529,4704-87657,White Plains
5/30/21,30609,5178-53106-GJ,Lindenhurst
5/30/21,80014,,Wappingrs Fls
5/30/21,2013-538387-Sola,,Lindenhurst
5/30/21,16492,4555-45116,Rochester
5/30/21,2013-538751-Sola,,West Islip
5/30/21,28618,4629-48626-GJ,Holbrook
5/30/21,68487,,Syracuse
5/30/21,2014-660717-Sola,,Stony Brook
5/30/21,307622,,Middletown
5/30/21,54206,5247-63747,Freeville
5/30/21,57590,4704-73265,Dover Plains
5/30/21,105929,,Hopewell
5/30/21,70605,,Rensselaer
5/30/21,34708,5023-63763,Rochester
5/30/21,119222,,Saugerties
5/30/21,2014-664055-Sola,,Selden
5/30/21,50495,4156-90629,STATEN ISLAND
5/30/21,2014-652789-Sola,,North Babylon
5/30/21,25521,4718-39475,Floral Park
5/30/21,267506,,Altamont
5/30/21,2014-643498-Sola,,West Babylon
5/30/21,109571,,Rock Tavern
5/30/21,210419,,Swan Lake
5/30/21,24761,4704-36774,Valhalla
5/30/21,116211,,MONROE
5/30/21,60550,4704-83610,Cortlandt Manor
5/30/21,40742,5336-81847,Johnstown
5/30/21,16939,5292-45495,Staten Island
5/30/21,108656,,STATEN ISLAND
5/30/21,96140,,Shokan
5/30/21,163055,,Yonkers
5/30/21,24726,4117-36676,Staten Island
5/30/21,2013-617077-Sola,,Deer Park
5/30/21,65579,4814-101497,Staten Island
5/30/21,56433,5023-70564,Warsaw
5/30/21,45221,5124-97232,Leroy
5/30/21,62616,5098-92033,Stony Point
5/30/21,34979,5165-64504,Staten Island
5/30/21,238684,,Hewlett
5/30/21,55879,4704-68864,Newburgh
5/30/21,19497,4704-55205,Gansevoort
5/30/21,83861,,Castleton
5/30/21,67342,5122-76220,Delanson
5/30/21,43830,5297-90454,Hauppauge
5/30/21,27370,4704-44839,Jewett
5/30/21,2014-665379-Sola,,East Northport
5/30/21,64296,4809-97645,Mount Kisco
5/30/21,65612,5171-101617,jamaica
5/30/21,2014-663470-Sola,,Farmingdale
5/30/21,117604,,Gansevoort
5/30/21,78618,,Bethpage
5/30/21,287303,,New Hampton
5/30/21,116186,,Warwick
5/30/21,14830,4669-40430,Long Eddy
5/30/21,13638,4704-36188,Middletown
5/30/21,31662,4704-56552,Cropseyville
5/30/21,264674,,Flushing
5/30/21,291123,,Wappingers Falls
5/30/21,2014-659028-Sola,,Lindenhurst
5/30/21,113064,,Yonkers
5/30/21,25155,4953-38191,Staten Island
5/30/21,26208,4704-41739,Albany
5/30/21,32715,5023-58869,Staten Island
5/30/21,32383,5023-58274,Staten Island
5/30/21,54850,5023-65533,Stony Point
5/30/21,67506,4758-100439,Montgomery
5/30/21,63724,4704-95749,Monroe
5/30/21,165709,,staten island
5/30/21,220674,,Monroe
5/30/21,310325,,Middletown
5/30/21,71642,,Queens
5/30/21,277628,,Elbridge
5/30/21,19065,5137-50363,Buffalo
5/30/21,276528,,Frankfort
5/30/21,59627,4704-80903,New Paltz
5/30/21,92171,,Dobbs Ferry
5/30/21,192163,,Gloversville
5/30/21,92105,,Croton on Hudson
5/30/21,64079,4704-97107,Ballston Spa
5/30/21,19088,4704-50356,Ellenville
5/30/21,76015,,Schoharie
5/30/21,71719,,Springfield Gardens
5/30/21,75968,,Queens
5/30/21,26413,5104-42526,Garnerville
5/30/21,94028,,Queens
5/30/21,235624,,Highland Falls
5/30/21,41166,4704-81990,Middletown
5/30/21,15802,4464-42917,Troy
5/30/21,18605,4629-49923-GJ,Shirley
5/30/21,26646,4704-43541,Albany
5/30/21,46782,5138-99169,New City
5/30/21,171077,,Stanfordville
5/30/21,168489,,Lockport
5/30/21,31667,5023-56480,New Windsor
5/30/21,60868,4704-85457,Elmsford
5/30/21,19121,4704-50486,Troy
5/30/21,39054,4630-81704,Oswego
5/30/21,56020,4376-69950,Lloyd Harbor
5/30/21,28883,5159-50831,East Northport
5/30/21,2013-536386-Sola,,Deer Park
5/30/21,19502,5156-56314,Nesconset
5/30/21,9799,4704-87685,Castleton
5/30/21,95262,,Queens
5/30/21,173338,,Buffalo
5/30/21,57369,5297-75178,Tallman
5/30/21,2014-650087-Sola,,Medford
5/30/21,74814,,Baldwinsville
5/30/21,26523,5023-42752,Brooklyn
5/30/21,55749,5293-68672-GJ,Baldwinsville
5/30/21,32699,5171-59939,Staten Island
5/30/21,2014-655649-Sola,,Westbury
5/30/21,6832,4433-53787-GJ,Holbrook
5/30/21,100034,,VLY COTTAGE
5/30/21,155457,,Utica
5/30/21,50363,5293-67002-GJ,Freeville
5/30/21,245409,,Barneveld
5/30/21,4010,4124-040,Avon
5/30/21,37812,4443-76645-GJ,West Seneca
5/30/21,13953,4814-38759,Staten Island
5/30/21,60248,4943-83293,Yonkers
5/30/21,56571,4704-70688,Kingston
5/30/21,2014-655100-Sola,,West Babylon
5/30/21,109691,,Canandaigua
5/30/21,70338,,Armonk
5/30/21,315667,,Honeoye Falls
5/30/21,305665,,New Hyde Park
5/30/21,51209,4882-97355,Staten Island
5/30/21,166155,,MIDDLETOWN
5/30/21,41577,4704-82991,Poughkeepsie
5/30/21,7249,4355-60726-GJ,West Sayville
5/30/21,47100,4443-100618,Gowanda
5/30/21,43775,4944-89771,Larchmont
5/30/21,171554,,Ransomville
5/30/21,35708,5075-67510,Staten Island
5/30/21,313036,,Middletown
5/30/21,12983,4736-34018,Marilla
5/30/21,68822,,Queens
5/30/21,48012,4704-101638,Saratoga Springs
5/30/21,60958,4704-85404,Walden
5/30/21,46537,4704-80378,Burnt Hills
5/30/21,26140,4243-41563,Whitestone
5/30/21,28602,4704-48279,West Islip
5/30/21,242162,,Washingtonville
5/30/21,57713,4006-76308,Otego
5/30/21,248331,,Alden
5/30/21,54365,4704-64211,Yonkers
5/30/21,55033,4354-76496-GJ,Cortlandt Manor
5/30/21,2011-157653-SLPR,,Levittown
5/30/21,54955,5297-90774,Rock Tavern
5/30/21,64744,4533-99449,Brewerton
5/30/21,40454,4533-83767,Beacon
5/30/21,103024,,Holland Patent
5/30/21,28124,4502-48405-GJ,Hicksville
5/30/21,56502,4533-71114,Lake Luzerne
5/30/21,49028,4040-012,High Falls
5/30/21,75060,,Brooklyn
5/30/21,2014-652275-Sola,,Deer Park
5/30/21,36545,5153-68809,Chester
5/30/21,39498,4633-77284,Lake Katrine
5/30/21,26871,4704-43638,Red Hook
5/30/21,66063,4704-670,Gansevoort
5/30/21,16283,5023-44110,New Paltz
5/30/21,2014-646704-Sola,,Syosset
5/30/21,105508,,New Rochelle
5/30/21,2014-653915-Sola,,Riverhead
5/30/21,33812,4629-61937-GJ,Wantagh
5/30/21,13350,4758-35168,Stanfordville
5/30/21,16500,5105-44495,Ossining
5/30/21,55330,4704-66993,Dover Plains
5/30/21,12152,4786-29929,Tuxedo Park
5/30/21,90532,,Brooklyn
5/30/21,2014-660672-Sola,,Patchogue
5/30/21,254332,,Geneseo
5/30/21,41250,4533-83959,Knox
5/30/21,2014-666186-Sola,,Lake Grove
5/30/21,115480,,South Salem
5/30/21,71556,,Queens
5/30/21,45824,4548-96390,Catskill
5/30/21,16631,4977-44772,Interlaken
5/30/21,50532,5006-83074,Wilson
5/30/21,54550,4704-64754,Latham
5/30/21,78056,,Chester
5/30/21,74905,,New City
5/30/21,83727,,Middletown
5/30/21,58094,5023-77914,Woodbourne
5/30/21,260356,,Lake View
5/30/21,30921,5098-53334,Sayville
5/30/21,6814,4704-55161,Gansevoort
5/30/21,2013-631048-Sola,,East Meadow
5/30/21,78197,,Perry
5/30/21,65112,4704-100393,Middletown
5/30/21,2014-646477-Sola,,Smithtown
5/30/21,43866,4473-90559,New Paltz
5/30/21,94108,,Poughkeepsie
5/30/21,14624,4944-39446,White Plains
5/30/21,282022,,New Windsor
5/30/21,32708,4033-58771,Trumansburg
5/30/21,83291,,Garrison
5/30/21,47952,4704-101530,Amsterdam
5/30/21,157614,,MONROE
5/30/21,2014-658830-Sola,,Lindenhurst
5/30/21,58794,5138-82696,Whitesboro
5/30/21,22862,4643-28615,Mount Vernon
5/30/21,119649,,West Seneca
5/30/21,64213,5411-98885,Brooklyn
5/30/21,2014-653787-Sola,,Lynbrook
5/30/21,308948,,Staten Island
5/30/21,160427,,Jamestown
5/30/21,30202,5023-52805,Staten Island
5/30/21,2013-632767-Sola,,Wantagh
5/30/21,112266,,Staten Island
5/30/21,219504,,staten island
5/30/21,44687,4944-93045,Yonkers
5/30/21,16336,5056-44154,Wappingers Falls
5/30/21,39368,5098-87973,Jamaica
5/30/21,44089,5336-77224,Saratoga Springs
5/30/21,50454,5159-95573,Staten Island
5/30/21,281935,,Greenwood Lake
5/30/21,20932,4968-53459,Westbury
5/30/21,90741,,Amsterdam
5/30/21,158522,,Saugerties
5/30/21,2013-546133-Sola,,Centereach
5/30/21,88711,,Mt Morris
5/30/21,260005,,North Tonawanda
5/30/21,59358,4006-80506,Apalachin
5/30/21,11170,4594-22854,Pearl River
5/30/21,53513,4502-61854-GJ,Middletown
5/30/21,40318,4704-79772,Duanesburg
5/30/21,68211,,Whitestone
5/30/21,188568,,WAPPINGERS FALLS
5/30/21,168979,,Lagrangeville
5/30/21,219634,,Washingtonville
5/30/21,77305,,Barker
5/30/21,2013-534341-Sola,,Shirley
5/30/21,308042,,Monroe
5/30/21,213973,,Goshen
5/30/21,56636,5122-71460,Latham
5/30/21,2014-655216-Sola,,Baldwin
5/30/21,61224,5098-88871,Staten Island
5/30/21,308576,,Pennellville
5/30/21,29228,5171-50047,Staten Island
5/30/21,83129,,Staten Island
5/30/21,65429,5138-101595,Jamaica
5/30/21,55051,4006-66222,Windsor
5/30/21,279068,,Jamaica
5/30/21,64570,4864-98984,New City
5/30/21,21486,4704-56093,Ossining
5/30/21,293711,,Ellicottville
5/30/21,246753,,Campbell Hall
5/30/21,61037,4944-85901,Staten Island
5/30/21,80215,,Hyde Park
5/30/21,237382,,East Meadow
5/30/21,55665,4555-68884-GJ,Fairport
5/30/21,274330,,Bayville
5/30/21,228017,,Merrick
5/30/21,119296,,Nanuet
5/30/21,68147,,Phelps
5/30/21,274807,,New Hyde Park
5/30/21,22806,4708-28334,Olivebridge
5/30/21,101037,,Staten Island
5/30/21,65419,4704-100993,Newburgh
5/30/21,11102,4202-22405,NEW YORK
5/30/21,71033,,Rochester
5/30/21,9314,4968-83125,Canaan
5/30/21,259939,,Buffalo
5/30/21,93754,,Napanoch
5/30/21,89938,,Staten Island
5/30/21,53992,5023-63210,Queens Village
5/30/21,100359,,Amawalk
5/30/21,130109,,Cohoes
5/30/21,62907,4944-93046,Queens
5/30/21,119441,,New City
5/30/21,16124,5023-43917,Spring Valley
5/30/21,27262,4704-44604,Athens
5/30/21,2013-539239-Sola,,Wyandanch
5/30/21,281686,,Averill Park
5/30/21,2013-542241-Sola,,Centereach
5/30/21,166306,,Wallkill
5/30/21,10478,5170-99730,Riverhead
5/30/21,278138,,Middletown
5/30/21,19463,4629-51059-GJ,Islip Terrace
5/30/21,168462,,Baldwin
5/30/21,48335,5397-102639,Coxsackie
5/30/21,43025,4704-86952,Catskill
5/30/21,2013-538061-Sola,,Glen Cove
5/30/21,306636,,Nanuet
5/30/21,31762,4464-56296,Schoharie
5/30/21,89352,,Staten Island
5/30/21,44248,5097-93088,Clifton Park
5/30/21,40870,4864-82672,Goshen
5/30/21,74796,,Cobleskill
5/30/21,119879,,Rochester
5/30/21,2014-666096-Sola,,Port Jefferson Station
5/30/21,47251,4704-81865,Elizaville
5/30/21,52997,4154-59959-GJ,Southampton
5/30/21,36857,5165-69714,Staten Island
5/30/21,64098,5245-97335,Jamaica
5/30/21,61185,4704-86132,Bronx
5/30/21,64508,4630-98770,Oswego
5/30/21,120928,,Staten Island
5/30/21,109109,,Oneonta
5/30/21,17925,5023-52790,Cambria Heights
5/30/21,20060,5066-54497,Ithaca
5/30/21,118034,,Melrose
5/30/21,2014-663316-Sola,,Islandia
5/30/21,218742,,Brewster
5/30/21,51106,5293-95544,Poughkeepsie
5/30/21,223876,,Congers
5/30/21,89320,,Salisbury Mills
5/30/21,102639,,Lancaster
5/30/21,212337,,East Bloomfield
5/30/21,294029,,Pine Bush
5/30/21,56459,4704-70580,Wappingers Falls
5/30/21,121964,,Johnstown
5/30/21,37861,4704-71891,Herkimer
5/30/21,286324,,Nyack
5/30/21,33175,5023-59917,Flushing
5/30/21,23065,4810-29935,Sterling Forest
5/30/21,2013-536758-Sola,,Central Islip
5/30/21,57146,5138-73386-GJ,Brooklyn
5/30/21,2013-539631-Sola,,Miller Place
5/30/21,222154,,Geneva
5/30/21,34037,4704-62072,Yorktown Heights
5/30/21,51931,5293-57304-GJ,Oswego
5/30/21,204981,,Brewster
5/30/21,14760,4718-40183,ozone park
5/30/21,33668,4704-61219,Loudonville
5/30/21,45358,5397-98993,Nassau
5/30/21,25540,4704-39557,Schenectady
5/30/21,76152,,Theresa
5/30/21,97555,,SCOTIA
5/30/21,77823,,Saranac Lake
5/30/21,9915,5159-90338,Seaford
5/30/21,48116,4635-101978,Honeoye Falls
5/30/21,78990,,Schoharie
5/30/21,58218,4630-81702,Oswego
5/30/21,259534,,Oceanside
5/30/21,15197,4704-41486,Schenectady
5/30/21,90623,,Burdett
5/30/21,31137,5138-55341,Brooklyn
5/30/21,2014-649688-Sola,,Deer Park
5/30/21,13507,4669-35790,Rexford
5/30/21,11837,4562-28080,Durham
5/30/21,48779,4976-84038,Buffalo
5/30/21,76057,,Brooklyn
5/30/21,30655,4376-52679-GJ,Seaford
5/30/21,18767,4704-54772,Saugerties
5/30/21,211499,,Fishkill
5/30/21,21007,5156-53802-GJ,Deer Park
5/30/21,108832,,Horseheads
5/30/21,45969,4704-96862,Schenectady
5/30/21,248777,,South Fallsburg
5/30/21,89286,,Glenville
5/30/21,21681,4154-56264,Port Jefferson Station
5/30/21,2014-646251-Sola,,Islip
5/30/21,30530,4704-52309,Bethpage
5/30/21,14151,4941-38048,Pine Bush
5/30/21,55345,4373-68514,Scarsdale
5/30/21,40484,4704-79902,Pine Bush
5/30/21,247522,,Monroe
