Reporting Period,Project Number,Legacy Project Number,City
6/30/21,92760,,SAG HARBOR
6/30/21,238611,,Brooklyn
6/30/21,218789,,Brooklyn
6/30/21,284301,,Cortlandt MNR
6/30/21,7115,4704-57474,Brentwood
6/30/21,125820,,Staten Island
6/30/21,252707,,West Babylon
6/30/21,260125,,East Quogue
6/30/21,288320,,Bethpage
6/30/21,2369,17946-2,Crown Point
6/30/21,246128,,Yonkers
6/30/21,88717,,Flanders
6/30/21,262395,,Bellmore
6/30/21,209828,,Bronx
6/30/21,250122,,Staten Island
6/30/21,240542,,Staten Island
6/30/21,303602,,Staten Island
6/30/21,54120,5156-63607,Glen Head
6/30/21,103856,,Yonkers
6/30/21,237888,,Jamaica
6/30/21,51418,4355-0238-Financing,Oakdale
6/30/21,307171,,Bayside
6/30/21,148200,,Wantagh
6/30/21,78653,,Queens
6/30/21,128061,,Bronx
6/30/21,188804,,Jamaica
6/30/21,262377,,MASSAPEQUA
6/30/21,7748,5159-66979,Levittown
6/30/21,181050,,East Rockaway
6/30/21,10689,4355-0345-Financing,Manorville
6/30/21,45333,5137-94904,Plainview
6/30/21,78833,,Westbury
6/30/21,240351,,Bronx
6/30/21,255662,,Queens
6/30/21,190501,,Bronx
6/30/21,79715,,Huntington
6/30/21,253494,,Kenmore
6/30/21,117899,,Staten Island
6/30/21,260161,,Brooklyn
6/30/21,213559,,Staten Island
6/30/21,250383,,Brooklyn
6/30/21,153897,,Bellmore
6/30/21,180795,,Bronx
6/30/21,264360,,Queens
6/30/21,42585,4704-86663,Mount Sinai
6/30/21,125692,,Port Washington
6/30/21,88790,,Queens Village
6/30/21,221240,,Grahamsville
6/30/21,244544,,WHITE PLAINS
6/30/21,184494,,Oceanside
6/30/21,182827,,Syracuse
6/30/21,47500,4502-0278-H-Financing-RC,Central Islip
6/30/21,168914,,Peekskill
6/30/21,2366,17945-8,Maspeth
6/30/21,105298,,Oceanside
6/30/21,204455,,North Massapeqa
6/30/21,267283,,Oakdale
6/30/21,7551,4704-63651,Massapequa Park
6/30/21,247243,,Yonkers
6/30/21,205922,,Brooklyn
6/30/21,233527,,Jamaica
6/30/21,150116,,Staten Island
6/30/21,34661,5209-89131,Elmont
6/30/21,2355,17944-16,Ghent
6/30/21,249906,,Queens
6/30/21,275811,,Farmingdale
6/30/21,226413,,Massapequa
